timestamp;customer_no;location
2019-09-06 07:00:00;1;dairy
2019-09-06 07:00:00;2;drinks
2019-09-06 07:00:00;3;fruit
2019-09-06 07:01:00;2;checkout
2019-09-06 07:01:00;4;drinks
2019-09-06 07:01:00;5;dairy
2019-09-06 07:02:00;4;checkout
2019-09-06 07:02:00;6;spices
2019-09-06 07:02:00;7;dairy
2019-09-06 07:03:00;3;spices
2019-09-06 07:03:00;6;dairy
2019-09-06 07:03:00;8;fruit
2019-09-06 07:04:00;1;spices
2019-09-06 07:04:00;3;dairy
2019-09-06 07:04:00;8;checkout
2019-09-06 07:05:00;1;checkout
2019-09-06 07:05:00;6;drinks
2019-09-06 07:05:00;7;checkout
2019-09-06 07:06:00;9;fruit
2019-09-06 07:06:00;10;fruit
2019-09-06 07:06:00;11;fruit
2019-09-06 07:07:00;5;spices
2019-09-06 07:08:00;5;drinks
2019-09-06 07:08:00;6;spices
2019-09-06 07:08:00;9;dairy
2019-09-06 07:08:00;12;fruit
2019-09-06 07:08:00;13;dairy
2019-09-06 07:08:00;14;spices
2019-09-06 07:09:00;6;fruit
2019-09-06 07:09:00;9;checkout
2019-09-06 07:09:00;13;drinks
2019-09-06 07:09:00;15;spices
2019-09-06 07:09:00;16;fruit
2019-09-06 07:09:00;17;spices
2019-09-06 07:10:00;5;spices
2019-09-06 07:10:00;6;checkout
2019-09-06 07:10:00;12;checkout
2019-09-06 07:10:00;14;fruit
2019-09-06 07:11:00;3;checkout
2019-09-06 07:11:00;5;drinks
2019-09-06 07:11:00;10;checkout
2019-09-06 07:11:00;13;checkout
2019-09-06 07:11:00;16;dairy
2019-09-06 07:11:00;17;drinks
2019-09-06 07:11:00;18;fruit
2019-09-06 07:11:00;19;spices
2019-09-06 07:12:00;11;drinks
2019-09-06 07:12:00;14;drinks
2019-09-06 07:12:00;17;fruit
2019-09-06 07:12:00;20;fruit
2019-09-06 07:12:00;21;dairy
2019-09-06 07:12:00;22;fruit
2019-09-06 07:13:00;15;checkout
2019-09-06 07:13:00;17;dairy
2019-09-06 07:13:00;19;fruit
2019-09-06 07:13:00;22;drinks
2019-09-06 07:14:00;11;checkout
2019-09-06 07:14:00;14;checkout
2019-09-06 07:14:00;22;checkout
2019-09-06 07:15:00;5;checkout
2019-09-06 07:16:00;16;spices
2019-09-06 07:16:00;17;fruit
2019-09-06 07:17:00;19;checkout
2019-09-06 07:17:00;20;checkout
2019-09-06 07:18:00;16;fruit
2019-09-06 07:18:00;18;checkout
2019-09-06 07:18:00;23;dairy
2019-09-06 07:19:00;17;checkout
2019-09-06 07:19:00;24;dairy
2019-09-06 07:19:00;25;dairy
2019-09-06 07:19:00;26;dairy
2019-09-06 07:19:00;27;spices
2019-09-06 07:19:00;28;fruit
2019-09-06 07:20:00;16;checkout
2019-09-06 07:20:00;21;checkout
2019-09-06 07:20:00;25;fruit
2019-09-06 07:20:00;28;checkout
2019-09-06 07:20:00;29;fruit
2019-09-06 07:20:00;30;fruit
2019-09-06 07:20:00;31;drinks
2019-09-06 07:21:00;27;checkout
2019-09-06 07:21:00;30;checkout
2019-09-06 07:22:00;26;drinks
2019-09-06 07:22:00;32;fruit
2019-09-06 07:22:00;33;fruit
2019-09-06 07:23:00;34;fruit
2019-09-06 07:24:00;24;spices
2019-09-06 07:24:00;25;dairy
2019-09-06 07:24:00;26;spices
2019-09-06 07:24:00;29;dairy
2019-09-06 07:24:00;35;drinks
2019-09-06 07:25:00;31;fruit
2019-09-06 07:25:00;32;spices
2019-09-06 07:25:00;34;spices
2019-09-06 07:25:00;36;fruit
2019-09-06 07:25:00;37;dairy
2019-09-06 07:26:00;29;checkout
2019-09-06 07:26:00;31;dairy
2019-09-06 07:26:00;32;checkout
2019-09-06 07:26:00;34;checkout
2019-09-06 07:27:00;24;drinks
2019-09-06 07:27:00;25;checkout
2019-09-06 07:27:00;31;drinks
2019-09-06 07:27:00;35;spices
2019-09-06 07:27:00;37;checkout
2019-09-06 07:27:00;38;fruit
2019-09-06 07:27:00;39;dairy
2019-09-06 07:27:00;40;spices
2019-09-06 07:27:00;41;fruit
2019-09-06 07:27:00;42;drinks
2019-09-06 07:27:00;43;drinks
2019-09-06 07:28:00;24;spices
2019-09-06 07:28:00;26;checkout
2019-09-06 07:28:00;31;spices
2019-09-06 07:28:00;35;fruit
2019-09-06 07:28:00;36;checkout
2019-09-06 07:28:00;40;drinks
2019-09-06 07:28:00;44;drinks
2019-09-06 07:29:00;24;drinks
2019-09-06 07:29:00;38;spices
2019-09-06 07:29:00;43;fruit
2019-09-06 07:30:00;23;checkout
2019-09-06 07:30:00;31;drinks
2019-09-06 07:30:00;33;drinks
2019-09-06 07:30:00;35;drinks
2019-09-06 07:30:00;38;checkout
2019-09-06 07:30:00;39;checkout
2019-09-06 07:30:00;43;checkout
2019-09-06 07:31:00;24;checkout
2019-09-06 07:31:00;31;fruit
2019-09-06 07:31:00;35;spices
2019-09-06 07:31:00;40;fruit
2019-09-06 07:31:00;44;checkout
2019-09-06 07:31:00;45;spices
2019-09-06 07:31:00;46;dairy
2019-09-06 07:32:00;33;checkout
2019-09-06 07:32:00;41;dairy
2019-09-06 07:32:00;45;fruit
2019-09-06 07:32:00;46;drinks
2019-09-06 07:32:00;47;fruit
2019-09-06 07:33:00;41;drinks
2019-09-06 07:33:00;45;spices
2019-09-06 07:33:00;48;dairy
2019-09-06 07:33:00;49;fruit
2019-09-06 07:33:00;50;fruit
2019-09-06 07:34:00;40;dairy
2019-09-06 07:34:00;41;spices
2019-09-06 07:34:00;45;drinks
2019-09-06 07:34:00;46;spices
2019-09-06 07:34:00;47;spices
2019-09-06 07:34:00;48;spices
2019-09-06 07:35:00;31;dairy
2019-09-06 07:35:00;35;fruit
2019-09-06 07:35:00;41;checkout
2019-09-06 07:35:00;45;checkout
2019-09-06 07:35:00;47;dairy
2019-09-06 07:35:00;50;dairy
2019-09-06 07:35:00;51;fruit
2019-09-06 07:35:00;52;fruit
2019-09-06 07:35:00;53;dairy
2019-09-06 07:36:00;47;spices
2019-09-06 07:36:00;48;checkout
2019-09-06 07:36:00;49;drinks
2019-09-06 07:36:00;52;checkout
2019-09-06 07:36:00;53;checkout
2019-09-06 07:36:00;54;spices
2019-09-06 07:36:00;55;dairy
2019-09-06 07:37:00;40;checkout
2019-09-06 07:37:00;42;spices
2019-09-06 07:37:00;47;fruit
2019-09-06 07:37:00;49;checkout
2019-09-06 07:37:00;50;drinks
2019-09-06 07:37:00;51;spices
2019-09-06 07:37:00;54;drinks
2019-09-06 07:37:00;56;spices
2019-09-06 07:37:00;57;fruit
2019-09-06 07:38:00;42;drinks
2019-09-06 07:38:00;46;dairy
2019-09-06 07:38:00;51;dairy
2019-09-06 07:38:00;58;drinks
2019-09-06 07:38:00;59;drinks
2019-09-06 07:38:00;60;dairy
2019-09-06 07:38:00;61;fruit
2019-09-06 07:38:00;62;dairy
2019-09-06 07:38:00;63;dairy
2019-09-06 07:38:00;64;dairy
2019-09-06 07:39:00;35;checkout
2019-09-06 07:39:00;50;spices
2019-09-06 07:39:00;56;dairy
2019-09-06 07:39:00;62;drinks
2019-09-06 07:39:00;64;drinks
2019-09-06 07:39:00;65;fruit
2019-09-06 07:39:00;66;spices
2019-09-06 07:40:00;51;spices
2019-09-06 07:40:00;60;drinks
2019-09-06 07:40:00;66;checkout
2019-09-06 07:40:00;67;spices
2019-09-06 07:41:00;31;fruit
2019-09-06 07:41:00;42;checkout
2019-09-06 07:41:00;46;checkout
2019-09-06 07:41:00;47;checkout
2019-09-06 07:41:00;50;fruit
2019-09-06 07:41:00;51;fruit
2019-09-06 07:41:00;57;checkout
2019-09-06 07:41:00;58;fruit
2019-09-06 07:41:00;60;dairy
2019-09-06 07:41:00;65;dairy
2019-09-06 07:41:00;68;dairy
2019-09-06 07:41:00;69;drinks
2019-09-06 07:41:00;70;fruit
2019-09-06 07:41:00;71;spices
2019-09-06 07:41:00;72;drinks
2019-09-06 07:42:00;31;checkout
2019-09-06 07:42:00;54;fruit
